"","Sp","Pot_Area","Hab_Area","BAU_Area","Hab_perc","BAU_perc","Ext_015","Ext_025","Ext_035"
"39","Attalea brasiliensis",892216.285012813,333094.079738117,380678.948272134,0.373333333333333,0.426666666666667,0.119937922699093,0.191793798129351,0.257782738752368
"40","Axonopus hydrolithicus",1260999.01615144,737565.462277259,1011178.45634785,0.584905660377359,0.80188679245283,0.0325757731468235,0.0537012528412152,0.0743654189981428
"41","Baccharis concinna",1903394.74136067,1296687.66755195,1820121.22142614,0.68125,0.95625,0.00668791972521077,0.0111216653296538,0.0155356204770235
"42","Baccharis elliptica",1510819.57595503,951697.370680334,1439442.27315401,0.62992125984252,0.952755905511811,0.00723319474311424,0.0120262349850958,0.0167961346117389
"43","Baccharis pseudoalpestris",3830581.91698834,2260281.25536579,3188186.19177912,0.590062111801242,0.832298136645963,0.0271590607813949,0.0448540674841579,0.062227219657996
"44","Banisteriopsis andersonii",2188903.95256477,1427546.0560205,2105630.43263024,0.652173913043478,0.961956521739131,0.00580101252627752,0.0096496467222108,0.0134833825071009
"45","Banisteriopsis cipoensis",5281920.40727585,3878166.78552236,4936930.11040423,0.734234234234234,0.934684684684685,0.0100807514784472,0.0167447325978117,0.0233638528414779
"46","Banisteriopsis hatschbachii",3545072.70578424,2712337.50643895,3283355.92884715,0.765100671140939,0.926174496644295,0.0114379763484224,0.0189905193546527,0.0264853614736386
"47","Banisteriopsis hirsuta",1344272.53608597,892216.285012813,1177725.49621691,0.663716814159292,0.876106194690266,0.0196446738086419,0.0325262557228184,0.0452385774226842
"48","Barbacenia delicatula",142754.60560205,107065.954201538,130858.388468546,0.75,0.916666666666667,0.0129669023738636,0.021517957366443,0.0299949312145685
"49","Barbacenia glutinosa",71377.3028010251,71377.3028010251,71377.3028010251,1,1,0,0,0
"50","Barbacenia longiscapa",190339.474136067,166547.039869058,190339.474136067,0.875,1,0,0,0
"51","Barbacenia paranaensis",321197.862604613,0,190339.474136067,0,0.592592592592593,0.0754861263031923,0.122617324698338,0.167345801051813
"52","Barbacenia pungens",71377.3028010251,71377.3028010251,71377.3028010251,1,1,0,0,0
"53","Barbacenia rodriguesii",71377.3028010251,59481.0856675209,71377.3028010251,0.833333333333333,1,0,0,0
"54","Barbacenia spiralis",689980.593743242,511537.33674068,666188.159476234,0.741379310344828,0.96551724137931,0.00524986898802571,0.00873446096364527,0.0122068464756936
"55","Bernardia crassifolia",1891498.52422716,1284791.45041845,1808225.00429263,0.679245283018868,0.955974842767296,0.00673079822460898,0.011192809484308,0.0156347762843118
"56","Bromelia braunii",47584.8685340167,47584.8685340167,47584.8685340167,1,1,0,0,0
"57","Bromelia macedoi",1356168.75321948,416367.599672646,463952.468206663,0.307017543859649,0.342105263157895,0.148618981539953,0.235213982956277,0.313001301199377
"58","Bulbostylis smithii",1487027.14168802,1011178.45634785,1451338.49028751,0.68,0.976,0.00363727292423399,0.00605476870288391,0.00846639886083078
"59","Butia capitata",3295252.14598066,1498923.35882153,1915290.95849417,0.454873646209386,0.581227436823105,0.0781677110709013,0.126854687671695,0.172970240252096
"60","Butia leptospatha",1939083.39276118,392575.165405638,1070659.54201538,0.202453987730061,0.552147239263804,0.0852377463739243,0.137987177051812,0.187694831108712
"61","Butia purpuens.asc",1094451.97628238,178443.257002563,166547.039869058,0.16304347826087,0.152173913043478,0.246035268385362,0.375424345012754,0.482608758147947
"62","Byrsonima brachybotrya",594810.856675209,95169.7370680334,333094.079738117,0.16,0.56,0.0832979468404496,0.134938454585578,0.183669901495745
"63","Byrsonima cipoensis",1713055.2672246,1165829.27908341,1653574.18155708,0.680555555555555,0.965277777777778,0.00528687996274402,0.00879592907785487,0.0122925993216668
"64","Byrsonima fonsecae",1713055.2672246,1153933.06194991,1653574.18155708,0.673611111111111,0.965277777777778,0.00528687996274402,0.00879592907785487,0.0122925993216668
"65","Byrsonima onishiana",2224592.60396528,1308583.88468546,1594093.09588956,0.588235294117647,0.716577540106952,0.0487613699658048,0.0799407457558126,0.110098134586965
"66","Calea abbreviata",606707.073808713,511537.33674068,582914.639541705,0.843137254901961,0.96078431372549,0.00598283135102373,0.00995148663330292,0.0139042968927332
"67","Calea brittoniana",416367.599672646,226028.125536579,356886.514005125,0.542857142857143,0.857142857142857,0.0228573231920011,0.0378045418042385,0.0525231148465455
"68","Calea gentianoides",35688.6514005125,0,35688.6514005125,0,1,0,0,0
"69","Calea heteropappa",107065.954201538,71377.3028010251,95169.7370680334,0.666666666666667,0.888888888888889,0.0175123009308117,0.0290164565853531,0.0403859076553494
