,Sp,Pot_Area,Hab_Area,BAU_Area,,,,
172,Hemipogon hatschbachii,1496727.064,466978.844,395135.945,0.23,,,
173,Hemipogon piranii,1532648.514,478952.6606,407109.7615,0.23,,,
174,Heterocoma albida,1161460.202,371188.3119,335266.8624,0.22,,,
175,Heterocondylus lysimachioides,586717.0092,35921.44954,23947.63303,0.47,,,
176,Heteropterys aliciae,1436857.982,203554.8807,203554.8807,0.32,,,
177,Heteropterys dusenii,251450,0,0,1.00,,,
178,Heteropterys hatschbachii,586717.0092,131711.9817,83816.7156,0.32,,,
179,Heteropterys marginata,1053695.853,179607.2477,131711.9817,0.34,,,
180,Hippeastrum goianum,1736203.395,167633.4312,119738.1651,0.41,,,
181,Hippeastrum leucobasis,1376988.899,287371.5963,263423.9633,0.28,,,
182,Hoffmannseggella briegeri,993826.7706,347240.6789,323293.0459,0.20,,,
183,Hoffmannseggella caulescens,1508700.881,478952.6606,407109.7615,0.23,,,
184,Hoffmannseggella ghillanyi,1508700.881,478952.6606,407109.7615,0.23,,,
185,Huberia pirani,1149486.385,371188.3119,323293.0459,0.22,,,
186,Hypenia aristulata,191581.0642,35921.44954,35921.44954,0.28,,,
187,Hypenia crispata,191581.0642,11973.81651,11973.81651,0.43,,,
188,Hypenia micrantha,95790.53211,35921.44954,35921.44954,0.18,,,
189,Hypenia subrosea,4071097.615,826193.3395,778298.0734,0.28,,,
190,Hyptidendron claussenii,694481.3578,275397.7798,251450.1468,0.18,,,
191,Hyptidendron conspersum,1927784.459,191581.0642,71842.89908,0.48,,,
192,Hyptis alpestris,754350.4404,215528.6972,203554.8807,0.23,,,
193,Hyptis angustifolia,143685.7982,23947.63303,23947.63303,0.30,,,
194,Hyptis arenaria,910010.055,167633.4312,155659.6147,0.30,,,
195,Hyptis colligata,562769.3761,179607.2477,179607.2477,0.20,,,
196,Hyptis cruciformis,4071097.615,826193.3395,778298.0734,0.28,,,
197,Hyptis frondosa,2382789.486,478952.6606,407109.7615,0.30,,,
198,Hyptis hamatidens,263423.9633,35921.44954,23947.63303,0.38,,,
199,Hyptis imbricatiformis,4071097.615,826193.3395,778298.0734,0.28,,,
200,Hyptis pachyphylla,1544622.33,251450.1468,239476.3303,0.31,,,
201,Hyptis penaeoides,3568197.321,742376.6239,706455.1743,0.28,,,
202,Ichthyothere elliptica,2059496.44,155659.6147,131711.9817,0.42,,,
203,Ilex prostrata,1520674.697,478952.6606,407109.7615,0.23,,,
204,Ipomoea macedoi,347240.6789,11973.81651,11973.81651,0.49,,,
